Rule #,Name,Location,Tags,Type,Source Zone,Source Address,Source User,Source Device,Destination Zone,Destination Address,Destination Device,Application,Service,Action,Profile,Options,Target,Rule Usage Description,Rule Usage Rule Usage,Rule Usage Apps Seen,Days With No New Apps,Modified,Created
15,Allow_Guest_to_Mgmt_DNS,la-datacenterfw,,universal,Guest,LA_Branch_3_Subnets,svc_batch,any,Mgmt,LA_Legacy,any,dns,dns-udp-53,allow,default,none,PA-3410,Temporary allow per INC486421 (expires in 30d),4751,"ftp, smb",174,2025-06-22 00:16:58,2023-03-23 00:16:58
16,Allow_Trust_to_Guest_POP3,la-datacenterfw,,universal,Untrust,any,svc_backup,any,DMZ,any,any,any,vnc-tcp-5900,allow,none,log at both ends,PA-3410,Temporary allow per INC478502 (expires in 30d),430,dns,164,2025-05-25 13:54:58,2023-05-23 13:54:58
17,Allow_Internet_to_Mgmt_SSH,la-datacenterfw,,universal,Untrust,10.190.44.10/32,domain\finance,any,Mgmt,10.144.140.22/32,any,ssh,netbios-ns-udp-137,allow,none,Traffic log sent at session end,PA-3410,Created during migration; documentation missing,0,unknown-tcp,85,2025-01-14 12:21:58,2023-01-03 12:21:58
18,Allow_Guest_to_Trust_POP3,la-datacenterfw,,universal,Guest,any,svc_backup,any,Trust,LA_DMZ_Web,any,pop3,backdoor-common-tcp-4444,allow,none,Traffic log sent at session end,PA-3410,Temporary allow per INC108663 (expires in 30d),8107,"web-browsing, ssl",329,2025-01-06 11:30:58,2024-05-05 11:30:58
19,Block_Guest_to_Guest_LA_APP_ANY_AND_WEB,la-datacenterfw,,universal,Guest,LA_Branch_3_Subnets,svc_backup,any,Guest,10.197.110.27/32,any,LA_App_Any_And_Web,LA_Remote_Access_Insecure,deny,none,Traffic log sent at start; Log Forwarding Profile setting: Forward to Panorama,PA-3410,Change approved under INC448803,0,"rdp, vnc",27,2025-07-20 12:53:58,2023-02-26 12:53:58
20,Allow_Internet_to_Mgmt_RDP,la-datacenterfw,,universal,Untrust,any,svc_backup,any,Mgmt,any,any,any,rdp-tcp-3389,allow,antivirus,Traffic log sent at session end,PA-3410,Operational requirement documented in INC176302,9124,"ftp, smb",352,2025-02-27 04:06:58,2022-06-22 04:06:58
21,Allow_DMZ_to_Mgmt_HTTP,la-datacenterfw,,universal,DMZ,any,domain\itops,any,Mgmt,10.1.10.0/24,any,web-browsing,ntp-udp-123,allow,best-practice,Traffic log sent at session end,PA-3410,Exception tracked in INC610487 pending remediation,0,unknown-tcp,133,2025-10-26 02:25:58,2023-09-22 02:25:58
22,Allow_Guest_to_Guest_POP3,la-datacenterfw,,universal,Guest,10.190.44.10/32,svc_batch,any,Guest,srv-la-app18.corp.local,any,pop3,netbios-ssn-udp-139,allow,threat-prevention,Traffic log sent at session end; Log Forwarding Profile setting: Forward to Panorama,PA-3410,Temporary allow per INC494249 (expires in 30d),8891,(none),102,2024-12-26 12:47:58,2022-12-07 12:47:58
23,Allow_DMZ_to_Mgmt_FTP,la-datacenterfw,,universal,DMZ,srv-la-app10.corp.local,domain\itops,any,Mgmt,10.248.121.16/32,any,ssh,ftp-control-tcp-21,allow,none,log at both ends,PA-3410,Legacy rule—owner unknown,0,"ftp, smb",127,2024-11-15 06:33:58,2024-01-09 06:33:58
24,Allow_Trust_to_DMZ_HTTP,la-datacenterfw,,universal,Trust,10.72.170.15/32,domain\itops,any,DMZ,srv-la-app19.corp.local,any,ssl,https-tcp-443,allow,threat-prevention,Traffic log sent at start; Log Forwarding Profile setting: Forward to Panorama,PA-3410,Temporary workaround—no ticket provided,0,"ftp, smb",71,2024-11-28 21:59:58,2022-03-06 21:59:58
25,Allow_Trust_to_Guest_POP3,la-datacenterfw,,universal,Trust,10.247.26.17/32,svc_batch,any,Guest,any,any,pop3,netbios-ssn-udp-139,allow,best-practice,Traffic log sent at session end; Log Forwarding Profile setting: Forward to Panorama,PA-3410,Temporary allow per INC118802 (expires in 30d),9805,"ftp, smb",145,2025-09-19 14:45:58,2023-07-31 14:45:58
26,Allow_Guest_to_Guest_Telnet,la-datacenterfw,,universal,Guest,LA_External_Vendors,domain\finance,any,Guest,srv-la-app15.corp.local,any,smtp,telnet-tcp-23,allow,default,log at both ends,PA-3410,Change approved under INC793265,1528,unknown-tcp,255,2025-03-13 23:53:58,2022-05-31 23:53:58
27,Allow_Guest_to_Mgmt_DNS,la-datacenterfw,,universal,Guest,LA_Anylike,svc_backup,any,Mgmt,srv-la-app03.corp.local,any,dns,tcp-any,allow,antivirus,Traffic log sent at session end,PA-3410,Change approved under INC369130,0,unknown-tcp,273,2024-12-27 22:20:58,2024-03-05 22:20:58
28,Block_Guest_to_Mgmt_HTTP,la-datacenterfw,,universal,Guest,LA_Branch_1_Subnets,svc_backup,any,Mgmt,srv-la-app07.corp.local,any,web-browsing,backdoor-common-tcp-4444,deny,strict,Traffic log sent at session end; Log Forwarding Profile setting: Forward to Panorama,PA-3410,Temporary workaround—no ticket provided,0,(none),323,2025-01-21 15:04:58,2023-08-07 15:04:58
29,Allow_Guest_to_Guest_HTTP,la-datacenterfw,,universal,Guest,LA_Branch_1_Subnets,any,any,Guest,srv-la-app16.corp.local,any,web-browsing,LA_Email_Legacy,allow,none,Traffic log sent at session end,PA-3410,Legacy rule—owner unknown,46,"ftp, smb",282,2025-04-08 01:53:58,2022-03-05 01:53:58
30,Allow_Trust_to_Mgmt_DNS,la-datacenterfw,,universal,Trust,any,svc_backup,any,Mgmt,any,any,dns,LA_SNMP_Group,allow,default,log at both ends,PA-3410,Temporary allow per INC258945 (expires in 30d),131,"rdp, vnc",25,2025-01-30 23:36:58,2024-04-30 23:36:58
31,Allow_Trust_to_Trust_HTTP,la-datacenterfw,,universal,Trust,any,domain\finance,any,Trust,10.1.8.0/24,any,web-browsing,netbios-ssn-udp-139,allow,default,Traffic log sent at session end,PA-3410,Operational requirement documented in INC303238,157,dns,309,2025-08-22 05:13:58,2023-04-28 05:13:58
32,Allow_Guest_to_DMZ_HTTP,la-datacenterfw,,universal,Guest,any,any,any,DMZ,LA_Internal_Servers,any,web-browsing,LA_Insecure_File_Sharing,allow,default,Traffic log sent at session end,PA-3410,Temporary allow per INC390791 (expires in 30d),4174,(none),0,2024-12-26 03:24:58,2022-09-02 03:24:58
33,Allow_Mgmt_to_Trust_POP3,la-datacenterfw,,universal,Mgmt,LA_Branch_1_Subnets,svc_batch,any,Trust,net-tier-10_1_9_0_24,any,pop3,dns-udp-53,allow,antivirus,none,PA-3410,Exception tracked in INC280705 pending remediation,7277,dns,259,2025-10-07 05:12:58,2025-08-10 05:12:58
34,Allow_DMZ_to_DMZ_FTP,la-datacenterfw,,universal,Untrust,any,svc_batch,any,DMZ,any,any,any,snmp-udp-161,allow,none,Traffic log sent at session end,PA-3410,,395,"web-browsing, ssl",12,2024-12-30 16:34:58,2022-08-18 16:34:58
35,Allow_Mgmt_to_DMZ_LA_APP_ANY_AND_WEB,la-datacenterfw,,universal,Mgmt,10.130.246.26/32,domain\finance,any,any,net-tier-10_1_6_0_24,any,LA_App_Any_And_Web,udp-any,allow,best-practice,none,PA-3410,Exception tracked in INC839806 pending remediation,7965,"rdp, vnc",382,2025-08-27 08:05:58,2023-01-10 08:05:58
36,Allow_Guest_to_Mgmt_HTTP,la-datacenterfw,,universal,Guest,LA_Internal_Servers,domain\itops,any,Mgmt,updates.la.vendor.local,any,web-browsing,snmp-udp-161,allow,strict,Traffic log sent at session end,PA-3410,Change approved under INC958397,6564,ssh,14,2024-12-04 10:45:58,2021-09-25 10:45:58
37,Allow_Mgmt_to_Mgmt_HTTP,la-datacenterfw,,universal,Mgmt,any,svc_backup,any,Mgmt,10.18.135.11/32,any,imap,http-tcp-80,allow,threat-prevention,log at both ends,PA-3410,Created during migration; documentation missing,492,"web-browsing, ssl",121,2024-12-30 10:05:58,2022-08-22 10:05:58
38,Allow_DMZ_to_Mgmt_FTP,la-datacenterfw,,universal,DMZ,any,any,any,any,10.246.79.25/32,any,imap,ftp-bundle-tcp-20-21,allow,strict,log at both ends,PA-3410,Temporary allow per INC401520 (expires in 30d),0,"web-browsing, ssl",347,2025-08-09 18:22:58,2024-11-30 18:22:58
39,Allow_Trust_to_Trust_FTP,la-datacenterfw,,universal,Trust,any,any,any,Trust,LA_Legacy,any,dns,ftp-data-tcp-20,allow,best-practice,Traffic log sent at session end; Log Forwarding Profile setting: Forward to Panorama,PA-3410,Exception tracked in INC306836 pending remediation,7127,(none),333,2025-08-22 14:45:58,2025-06-03 14:45:58
40,Allow_Internet_to_Trust_SMTP,la-datacenterfw,,universal,Untrust,10.216.162.24/32,svc_batch,any,Trust,srv-la-app05.corp.local,any,smtp,LA_IRC_Backdoor_Suspect,allow,threat-prevention,none,PA-3410,Change approved under INC942257,208,"web-browsing, ssl",176,2025-09-03 13:18:58,2022-05-25 13:18:58
41,Allow_Internet_to_DMZ_HTTP,la-datacenterfw,,universal,Untrust,any,svc_batch,any,Trust,any,any,any,pop3-tcp-110,allow,none,Traffic log sent at session end,PA-3410,,9324,ssh,350,2025-01-30 19:01:58,2022-01-01 19:01:58
42,Allow_Mgmt_to_Trust_HTTP,la-datacenterfw,,universal,Mgmt,10.247.26.17/32,domain\finance,any,Trust,net-tier-10_1_7_0_24,any,web-browsing,netbios-ssn-tcp-139,allow,best-practice,Traffic log sent at session end; Log Forwarding Profile setting: Forward to Panorama,PA-3410,Change approved under INC709179,221,dns,221,2025-03-12 20:34:58,2024-01-02 20:34:58
43,Allow_Internet_to_Mgmt_SSL,la-datacenterfw,,universal,Untrust,any,domain\finance,any,DMZ,any,any,any,smb-tcp-445,allow,none,Traffic log sent at session end,PA-3410,,0,"rdp, vnc",209,2025-06-11 18:53:58,2023-08-30 18:53:58
44,Allow_Guest_to_Mgmt_HTTP,la-datacenterfw,,universal,Guest,LA_All_Branches,domain\finance,any,Mgmt,srv-la-app18.corp.local,any,ssl,http-tcp-80,allow,none,none,PA-3410,Created during migration; documentation missing,339,"ftp, smb",195,2025-10-06 23:46:58,2025-04-14 23:46:58
45,Allow_Trust_to_DMZ_IMAP,la-datacenterfw,,universal,Trust,LA_Branch_1_Subnets,svc_backup,any,DMZ,10.85.27.28/32,any,imap,snmp-tcp-161,allow,default,Traffic log sent at start; Log Forwarding Profile setting: Forward to Panorama,PA-3410,Created during migration; documentation missing,0,(none),288,2025-08-07 21:29:58,2023-11-28 21:29:58
46,Allow_Internet_to_Mgmt_ANY-App,la-datacenterfw,,universal,Untrust,LA_All_Branches,any,any,Mgmt,any,any,any,ms-rpc-udp-135,allow,best-practice,Traffic log sent at start; Log Forwarding Profile setting: Forward to Panorama,PA-3410,Operational requirement documented in INC968973,2749,dns,236,2025-09-25 12:57:58,2024-02-15 12:57:58
47,Allow_Internet_to_Guest_POP3,la-datacenterfw,,universal,Untrust,10.1.9.0/24,domain\finance,any,Guest,LA_Internet_Tiers,any,pop3,socks-proxy-tcp-1080,allow,strict,Traffic log sent at session end,PA-3410,Operational requirement documented in INC801959,7887,dns,286,2025-09-11 01:43:58,2022-09-04 01:43:58
48,Block_Mgmt_to_Trust_DNS,la-datacenterfw,,universal,Trust,10.247.26.17/32,svc_batch,any,Untrust,23.0.0.0/8,any,dns,telnet-tcp-23,allow,antivirus,log at both ends,PA-3410,Temporary allow per INC808293 (expires in 30d),2310,ssh,26,2025-11-01 06:14:58,2022-07-22 06:14:58
49,Block_Mgmt_to_DMZ_VNC,la-datacenterfw,,universal,Mgmt,any,any,any,DMZ,any,any,ssl,vnc-tcp-5900,deny,best-practice,Traffic log sent at session end; Log Forwarding Profile setting: Forward to Panorama,PA-3410,Operational requirement documented in INC544725,105,unknown-tcp,179,2025-08-02 11:28:58,2023-02-28 11:28:58
50,Allow_Mgmt_to_DMZ_SSH,la-datacenterfw,,universal,Mgmt,telemetry.la.iot,svc_batch,any,DMZ,LA_External_Vendors,any,ssh,netbios-ssn-tcp-139,allow,antivirus,none,PA-3410,Temporary workaround—no ticket provided,0,"ftp, smb",348,2024-12-24 17:06:58,2023-01-22 17:06:58
51,Allow_Trust_to_DMZ_HTTP,la-datacenterfw,,universal,Trust,LA_Branch_3_Subnets,domain\finance,any,DMZ,legacy.la.corp,any,web-browsing,socks-proxy-tcp-1080,allow,threat-prevention,Traffic log sent at start; Log Forwarding Profile setting: Forward to Panorama,PA-3410,Temporary workaround—no ticket provided,0,ssh,374,2025-10-08 07:35:58,2022-09-17 07:35:58
52,Allow_Trust_to_Trust_HTTP,la-datacenterfw,,universal,Trust,any,domain\itops,any,Trust,any,any,web-browsing,ms-rpc-udp-135,allow,threat-prevention,Traffic log sent at session end; Log Forwarding Profile setting: Forward to Panorama,PA-3410,Created during migration; documentation missing,0,"rdp, vnc",279,2024-12-15 00:16:58,2021-10-07 00:16:58
53,Block_DMZ_to_DMZ_Telnet,la-datacenterfw,,universal,DMZ,LA_All_Addresses,any,any,DMZ,10.221.242.19/32,any,dns,telnet-tcp-23,deny,strict,Traffic log sent at session end,PA-3410,Change approved under INC892287,398,"web-browsing, ssl",272,2025-07-17 21:45:58,2023-06-28 21:45:58
54,Allow_Trust_to_Guest_HTTP,la-datacenterfw,,universal,Trust,10.130.246.26/32,any,any,Guest,LA_Anylike,any,web-browsing,LA_Email_Legacy,allow,none,none,PA-3410,Created during migration; documentation missing,152,"ftp, smb",234,2025-08-25 01:10:58,2024-08-09 01:10:58
55,Allow_Internet_to_Trust_ANY-App,la-datacenterfw,,universal,Untrust,any,any,any,DMZ,any,any,any,telnet-tcp-23,allow,none,none,PA-3410,Temporary allow per INC728376 (expires in 30d),8198,(none),308,2025-07-30 00:25:58,2023-01-04 00:25:58
56,Allow_Mgmt_to_Trust_SMTP,la-datacenterfw,,universal,Untrust,any,svc_backup,any,Trust,any,any,any,vnc-tcp-5900,allow,none,Traffic log sent at start,PA-3410,Observed traffic baseline only,0,(none),310,2025-09-30 14:16:58,2023-02-08 14:16:58
57,Allow_Internet_to_Trust_VNC,la-datacenterfw,,universal,Untrust,any,svc_backup,any,Trust,any,any,any,imap-alt-tcp-145,allow,none,Traffic log sent at session end,PA-3410,Legacy rule—owner unknown,0,ssh,266,2025-11-03 04:34:58,2023-01-22 04:34:58
58,Allow_Internet_to_Guest_IMAP,la-datacenterfw,,universal,Untrust,legacy.la.corp,domain\itops,any,Guest,any,any,imap,netbios-ssn-udp-139,allow,strict,none,PA-3410,Change approved under INC193095,0,ssh,73,2025-03-05 18:19:58,2022-02-07 18:19:58
59,Allow_Internet_to_DMZ_ANY-App,la-datacenterfw,,universal,Untrust,srv-la-app09.corp.local,domain\itops,any,DMZ,any,any,any,netbios-ssn-udp-139,allow,best-practice,log at both ends,PA-3410,Change approved under INC598526,0,unknown-tcp,199,2025-08-26 16:34:58,2023-06-02 16:34:58
60,Block_Trust_to_DMZ_IMAP,la-datacenterfw,,universal,Trust,LA_Corp_Internal,any,any,DMZ,LA_Branch_3_Subnets,any,imap,netbios-ssn-udp-139,deny,antivirus,Traffic log sent at session end,PA-3410,Temporary allow per INC217813 (expires in 30d),0,dns,125,2025-08-16 20:47:58,2024-12-10 20:47:58
61,Allow_Guest_to_DMZ_FTP,la-datacenterfw,,universal,Untrust,any,svc_batch,any,DMZ,any,any,any,netbios-ns-udp-137,allow,none,none,PA-3410,Temporary allow per INC849749 (expires in 30d),141,ssh,316,2025-04-11 09:06:58,2023-09-11 09:06:58
62,Block_Guest_to_Guest_HTTP,la-datacenterfw,,universal,Untrust,any,svc_backup,any,DMZ,any,any,any,ftp-data-tcp-20,allow,none,none,PA-3410,,0,dns,232,2025-06-29 17:15:58,2025-02-14 17:15:58
63,Allow_Mgmt_to_DMZ_RDP,la-datacenterfw,,universal,Mgmt,net-tier-10_1_6_0_24,svc_batch,any,DMZ,any,any,ssh,rdp-tcp-3389,allow,best-practice,Traffic log sent at session end,PA-3410,Temporary workaround—no ticket provided,3398,ssh,285,2025-05-09 05:30:58,2022-10-18 05:30:58
64,Block_DMZ_to_Mgmt_VNC,la-datacenterfw,,universal,DMZ,LA_Internal_Servers,svc_batch,any,Mgmt,LA_Legacy,any,pop3,vnc-tcp-5900,deny,strict,Traffic log sent at session end; Log Forwarding Profile setting: Forward to Panorama,PA-3410,Legacy rule—owner unknown,593,"rdp, vnc",301,2024-12-06 00:21:58,2023-06-09 00:21:58
65,Allow_DMZ_to_Guest_SSH,la-datacenterfw,,universal,DMZ,any,any,any,Guest,LA_Anylike,any,ssh,pop3-tcp-110,allow,strict,Traffic log sent at session end; Log Forwarding Profile setting: Forward to Panorama,PA-3410,Change approved under INC386605,0,"web-browsing, ssl",0,2025-06-27 23:50:58,2022-08-13 23:50:58
66,Allow_Internet_to_Guest_HTTP,la-datacenterfw,,universal,Untrust,any,svc_batch,any,Trust,any,any,any,snmp-udp-161,allow,none,log at both ends,PA-3410,Observed traffic baseline only,5534,ssh,26,2025-09-03 13:51:58,2023-05-08 13:51:58
67,Allow_Internet_to_Guest_IMAP,la-datacenterfw,,universal,Untrust,any,domain\finance,any,Guest,srv-la-app11.corp.local,any,imap,ms-rpc-tcp-135,allow,best-practice,none,PA-3410,Observed traffic baseline only,8582,ssh,279,2025-01-01 19:08:58,2023-11-14 19:08:58
68,Block_Internet_to_Guest_SMTP,la-datacenterfw,,universal,Untrust,LA_Branch_1_Subnets,domain\finance,any,Guest,10.246.79.25/32,any,smtp,backdoor-common-tcp-4444,deny,best-practice,Traffic log sent at start; Log Forwarding Profile setting: Forward to Panorama,PA-3410,Change approved under INC748798,0,(none),324,2025-02-01 23:39:58,2023-04-20 23:39:58
69,Block_DMZ_to_DMZ_POP3,la-datacenterfw,,universal,DMZ,telemetry.la.iot,any,any,DMZ,net-tier-10_1_5_0_24,any,pop3,LA_IRC_Backdoor_Suspect,deny,strict,Traffic log sent at session end,PA-3410,Created during migration; documentation missing,0,"ftp, smb",332,2024-11-17 00:29:58,2023-10-04 00:29:58
70,Allow_Guest_to_Guest_HTTP,la-datacenterfw,,universal,Guest,LA_All_Addresses,any,any,Guest,telemetry.la.iot,any,LA_App_Any_And_Web,http-tcp-80,allow,default,Traffic log sent at session end; Log Forwarding Profile setting: Forward to Panorama,PA-3410,Temporary workaround—no ticket provided,44,ssh,53,2025-04-23 15:31:58,2023-02-10 15:31:58
71,Allow_Mgmt_to_Mgmt_IMAP,la-datacenterfw,,universal,Mgmt,srv-la-app06.corp.local,any,any,Mgmt,LA_DMZ_Web,any,imap,backdoor-common-tcp-4444,allow,strict,Traffic log sent at start; Log Forwarding Profile setting: Forward to Panorama,PA-3410,Legacy rule—owner unknown,104,"rdp, vnc",47,2025-10-20 04:06:58,2024-10-10 04:06:58
72,Allow_Guest_to_Guest_SMTP,la-datacenterfw,,universal,Guest,LA_Corp_Internal,domain\itops,any,Guest,srv-la-app02.corp.local,any,smtp,udp-any,allow,strict,Traffic log sent at session end,PA-3410,Change approved under INC528945,235,unknown-tcp,88,2025-10-27 20:34:58,2025-04-02 20:34:58
73,Allow_DMZ_to_Mgmt_ANY-App,la-datacenterfw,,universal,DMZ,10.143.171.21/32,any,any,Mgmt,LA_Anylike,any,any,netbios-ns-tcp-137,allow,none,none,PA-3410,Operational requirement documented in INC836805,32,"web-browsing, ssl",332,2025-02-27 23:19:58,2024-09-26 23:19:58
74,Allow_Mgmt_to_DMZ_HTTP,la-datacenterfw,,universal,Mgmt,LA_Anylike,any,any,DMZ,any,any,web-browsing,LA_SNMP_Group,allow,none,Traffic log sent at start; Log Forwarding Profile setting: Forward to Panorama,PA-3410,Operational requirement documented in INC292722,0,"ftp, smb",374,2025-05-17 09:22:58,2023-04-11 09:22:58
75,Allow_Guest_to_Mgmt_SSL,la-datacenterfw,,universal,Untrust,any,domain\itops,any,Trust,any,any,any,rdp-tcp-3389,allow,none,none,PA-3410,Exception tracked in INC461580 pending remediation,0,"rdp, vnc",84,2025-03-10 13:01:58,2024-08-16 13:01:58
76,Allow_DMZ_to_Mgmt_POP3,la-datacenterfw,,universal,DMZ,LA_Legacy,svc_backup,any,Mgmt,LA_Corp_Internal,any,pop3,ms-rpc-udp-135,allow,threat-prevention,Traffic log sent at start; Log Forwarding Profile setting: Forward to Panorama,PA-3410,Created during migration; documentation missing,295,"rdp, vnc",201,2025-01-30 07:03:58,2022-06-18 07:03:58
77,Allow_Mgmt_to_Mgmt_LA_APP_ANY_AND_WEB,la-datacenterfw,,universal,Mgmt,any,domain\itops,any,Mgmt,LA_Legacy,any,LA_App_Any_And_Web,LA_Insecure_File_Sharing,allow,default,Traffic log sent at session end; Log Forwarding Profile setting: Forward to Panorama,PA-3410,Created during migration; documentation missing,0,unknown-tcp,187,2025-05-01 01:56:58,2023-01-18 01:56:58
78,Allow_Internet_to_Mgmt_LA_APP_ANY_AND_WEB,la-datacenterfw,,universal,Trust,LA_All_Addresses,any,any,Untrust,any,any,LA_App_Any_And_Web,pop3-tcp-110,allow,threat-prevention,Traffic log sent at start; Log Forwarding Profile setting: Forward to Panorama,PA-3410,Created during migration; documentation missing,105,"rdp, vnc",88,2024-12-13 17:23:58,2023-09-11 17:23:58
79,Allow_Trust_to_Mgmt_Telnet,la-datacenterfw,,universal,Untrust,any,domain\finance,any,DMZ,any,any,any,pop3-tcp-110,allow,none,Traffic log sent at session end,PA-3410,Change approved under INC924513,2087,ssh,335,2024-12-15 14:49:58,2023-07-29 14:49:58
80,Allow_Trust_to_Mgmt_SSL,la-datacenterfw,,universal,Trust,LA_Branch_3_Subnets,any,any,Mgmt,any,any,ssl,pop3-tcp-110,allow,default,Traffic log sent at session end,PA-3410,Change approved under INC264361,3203,"rdp, vnc",203,2025-04-18 11:28:58,2024-05-26 11:28:58
81,Allow_Internet_to_DMZ_SSL,la-datacenterfw,,universal,Untrust,any,domain\itops,any,DMZ,any,any,any,netbios-ssn-udp-139,allow,none,log at both ends,PA-3410,Change approved under INC500896,0,"web-browsing, ssl",215,2025-10-25 20:19:58,2022-09-06 20:19:58
82,Block_Mgmt_to_Guest_POP3,la-datacenterfw,,universal,Mgmt,10.216.162.24/32,svc_backup,any,Guest,srv-la-app11.corp.local,any,pop3,pop3-tcp-110,deny,best-practice,Traffic log sent at session end; Log Forwarding Profile setting: Forward to Panorama,PA-3410,Created during migration; documentation missing,0,ssh,339,2024-12-28 13:19:58,2023-08-11 13:19:58
83,Allow_DMZ_to_Mgmt_HTTP,la-datacenterfw,,universal,DMZ,any,svc_backup,any,Mgmt,LA_Legacy,any,web-browsing,https-tcp-443,allow,default,none,PA-3410,Change approved under INC884821,9018,"rdp, vnc",218,2025-02-22 10:03:58,2021-11-29 10:03:58
